"trpa1gr28bdCo" "trpa1gr28bd" "hl8" "5htr1bchag80" "58e02thg80" "mb065b" "thd1" "thg1" "thf3" "mb301b" "mb060b" "thf2" "thf1" "thd4" "5htr1b" "mb056b" "mb299c" "thg4chag80" "58e02" "thc1" "mb304b" "mb315c" "thg4thg80" "mb025b" "mb032b" "mb058b" "mb438b" "mz840" "mb439b" "mz840np6510" "mb109b" "thdprime" "np6510" "np1528" "np47" "np6510np5272" "np47chag80" "mz19" "np5272" "mz19chag80" "np5272mz840"
"1" -0.005383 -0.2303 0.2846 NA -0.03169 0.08564 0.2899 0.2146 -0.113 -0.1058 0.1048 -0.06447 -0.06202 NA 0.06401 -0.1313 NA -0.004319 0.2196 -0.1213 NA -0.03373 -0.04443 0.009181 -0.1087 NA -0.4009 NA -0.4504 -0.03484 0.04521 -0.01987 -0.1948 -0.1054 -0.4952 -0.1231 -0.0777 -0.3824 -0.06375 -0.1272 NA
"2" 0.01521 -0.357 0.3622 NA 0.2014 0.3931 0.1733 0.105 0.2223 -0.2814 -0.005356 0.2027 0.2928 NA 0.09194 -0.1101 NA -0.146 0.07729 0.01593 0.01064 0.07105 0.09754 -0.07117 -0.2593 0.1957 0.03884 -0.2136 0.09797 -0.02347 -0.09794 -0.259 0.04209 -0.1725 -0.1161 -0.08207 -0.02412 -0.05873 -0.01236 -0.1426 NA
"3" 0.1075 -0.3675 0.2884 NA -0.06564 0.1672 0.1856 0.114 0.161 0.01912 0.07827 0.2208 0.1803 NA -0.04685 0.05236 NA -0.06537 0.2358 -0.04849 NA 0.2244 -0.1584 0.06667 -0.06632 -0.1496 -0.1698 NA 0.3499 0.06937 -0.09399 -0.2375 0.1561 -0.07283 0.1437 0.07323 -0.2487 -0.2146 -0.3151 -0.1974 -0.748
"4" 0.08892 -0.6218 0.1849 NA 0.09345 0.07374 0.1793 0.02001 0.1116 -0.01929 0.5532 0.1692 -0.01948 0.08681 -0.1071 0.00446 0.1554 0.09153 -0.1993 -0.059 NA 0.04046 0.1516 -0.02598 0.1213 -0.1321 NA -0.07042 -0.2076 -0.05955 -0.04433 -0.02418 -0.6286 0.0256 5.728e-05 -0.2639 0.152 0.02572 -0.1464 -0.3686 -0.2418
"5" -0.02661 -0.2044 0.2809 0.516 0.1445 0.09288 0.3741 0.02747 -0.01758 0.0916 0.04567 0.07143 0.09652 0.1804 0.005128 0.06868 -0.1367 0.04299 0.02602 -0.0208 -0.2511 -0.04547 -0.01518 -0.123 0.1814 0.06223 -0.1798 -0.1219 -0.2041 -0.1679 -0.1228 0.1303 -0.3683 -0.1101 -0.5835 -0.04063 -0.1141 -0.2185 -0.3268 -0.07686 -0.3076
"6" 0.09998 -0.2377 0.542 0.18 -0.02341 0.3935 -0.2825 -0.05869 0.09773 -0.08222 0.08363 0.1042 -0.007526 0.1672 0.1944 -0.03749 NA -0.1645 -0.04575 -0.04892 0.04391 0.03514 -0.04101 -0.1921 0.1055 -0.1836 -0.3392 -0.1303 -0.0126 -0.07056 -0.02162 -0.004562 -0.03643 -0.1328 0.2583 -0.3478 0.1477 -0.1486 -0.3685 -0.3064 -0.09676
"7" 0.09329 -0.3755 0.1797 0.1235 -0.07071 0.1435 0.2835 0.1353 0.2672 -0.0457 0.4709 0.3249 0.2574 -0.05671 0.2887 0.1019 0.2633 -0.08047 0.0521 0.07789 -0.1104 0.04009 0.003591 0.4088 -0.1276 0.07535 0.09341 -0.07038 -0.0454 -0.59 -0.007608 -0.169 -0.1174 -0.3148 -0.04427 -0.004676 -0.1911 -0.4037 0.02896 -0.1502 -0.3087
"8" -0.03137 -0.1357 0.2968 0.5242 -0.1173 -0.02031 0.2508 -0.07433 0.2943 0.03238 0.01713 0.1014 0.0694 0.235 -0.08636 -0.1367 0.009059 -0.05132 -0.09755 -0.01421 -0.09045 0.07476 0.07734 0.02487 -0.02718 0.09998 0.1391 0.2695 -0.02673 0.06685 0.02004 -0.04517 -0.08531 -0.1169 0.03815 -0.08608 -0.3894 -0.1436 -0.314 -0.518 -0.04031
"9" 0.06493 -0.5647 0.2108 0.004005 0.33 0.1719 -0.006274 0.27 0.05388 -0.06342 0.1467 0.02848 0.2207 0.2592 -0.07224 0.1704 -0.2409 -0.1095 0.03926 0.07193 0.2344 -0.03938 -0.08494 -0.1805 -0.05517 -0.1226 0.5184 0.4211 -0.002586 0.2498 -0.02205 -0.02872 0.06612 -0.05955 0.08271 -0.0337 -0.1359 -0.2126 -0.1251 -0.1421 -0.6275
"10" 0.4501 -0.3034 0.4058 -0.05213 0.2039 0.1394 0.2539 0.04113 0.2165 0.09241 0.2498 -0.07864 0.3055 0.106 0.1072 0.1205 0.2524 0.07458 0.09402 0.1094 -0.06277 -0.03726 -0.05896 -0.1335 0.05067 -0.05601 -0.007725 -0.2665 0.3796 -0.3733 -0.3681 0.401 -0.09604 -0.1318 -0.3397 -0.04024 0.1179 -0.2008 0.06056 -0.2659 -0.01213
