,L,M,D
light-yellow 1,10,16,11
light-green 2,4,7,8
blue 1,11,11,11
light-green 1,11,4,10
light-green 1,3,7,12
dark-green 2,6,5,10
dark-green 2,8,4,13
orange 1,7,12,6
red 3,5,2,15
light-green 4,8,4,12
light-green 2,11,3,13
dark-green 1,11,13,10
red 3,8,4,11
orange 2,10,6,13
dark-green 1,7,2,13
dark-green 1,10,3,14
red 3,13,6,9
dark-green 2,14,2,2
light-green 1,9,6,14
orange 3,9,3,9
light-yellow 1,2,11,15
dark-green 1,10,3,14
red 4,9,9,11
dark-green 1,9,5,5
dark-green 1,3,5,15
orange 1,8,9,7
orange 1,7,10,10
orange 1,7,5,13
light-yellow 1,2,11,28
light-yellow 1,2,6,13
orange 3,7,3,13
orange 2,10,1,9
light-green 2,16,0,2
dark-green 1,17,2,6
red 2,19,9,10
red 1,24,26,26
red 4,12,4,2
blue 1,18,20,62
red 2,16,20,22
light-yellow 1,1,12,18
dark-green 2,10,3,5
red 2,6,4,12
orange 1,9,4,2
red 2,15,9,10
blue 3,13,5,8
blue 3,8,9,10
light-yellow 1,7,9,11
orange 1,8,16,9
red 2,8,2,2
red 2,16,2,4
red 2,10,5,15
blue 3,2,4,16
blue 3,8,6,6
dark-green 1,3,2,12
light-yellow 1,5,9,11
light-yellow 1,0,7,2
light-green 2,18,2,1
light-green 1,8,4,9
orange 1,7,5,5
red 3,3,1,17
dark-yellow 4,8,6,8
light-green 2,12,5,11
orange 3,10,2,12
pink 3,12,3,9
light-green 1,9,5,17
light-green 1,11,9,11
pink 2,6,9,6
pink 2,4,8,4
orange 1,3,14,7
pink 4,6,13,10
pink 4,11,6,1
blue 3,6,4,10
red 2,4,4,9
red 2,11,4,8
light-green 1,13,7,11
red 2,10,8,11
red 2,7,1,11
red 1,3,10,8
red 1,9,3,6
dark-yellow 3,7,5,8
dark-yellow 4,4,2,9
orange 1,15,7,3
light-yellow 1,3,12,11
dark-green 1,9,4,11
dark-green 2,8,6,8
red 3,3,6,8
red 2,9,6,15
dark-yellow 2,8,2,9
red 1,6,12,11
light-green 2,10,8,8
orange 1,3,8,12
dark-yellow 4,4,9,9
pink 4,4,20,6
blue 3,14,4,4
light-green 1,2,7,13
light-green 1,8,10,10
blue 3,5,9,12
pink 2,5,4,12
blue 3,6,8,4
red 1,13,5,7
light-yellow 3,6,3,10
light-green 1,10,7,13
light-yellow 3,3,0,5
pink 3,11,5,10
light-green 2,8,3,7
pink 2,30,0,0
orange 4,12,2,6
light-green 1,5,3,15
orange 4,10,5,5
pink 3,14,1,5
red 1,16,4,12
orange 4,9,3,10
light-green 1,7,4,10
pink 3,7,4,11
pink 2,13,5,13
light-yellow 3,6,4,11
orange 4,9,4,9
dark-green 1,9,6,3
pink 3,5,11,8
blue 3,10,3,8
orange 4,10,1,13
pink 2,11,7,5
orange 4,12,6,7
white 1,11,3,5
light-yellow 3,8,1,11
light-yellow 3,10,8,5
light-yellow 2,12,2,8
pink 1,12,8,6
white 1,6,4,10
light-yellow 2,12,8,3
orange 4,8,6,11
pink 1,11,7,7
dark-yellow 1,12,1,5
pink 1,9,9,10
light-green 2,1,11,8
pink 2,7,3,14
orange 4,7,3,11
pink 1,7,7,7
blue 3,12,8,7
orange 4,13,0,4
blue 4,6,6,11
blue 1,6,5,8
dark-yellow 2,12,4,2
blue 1,1,4,20
dark-yellow 2,12,5,10
light-yellow 2,6,4,7
dark-yellow 3,9,8,3
dark-yellow 1,11,5,6
blue 1,5,9,4
dark-green 1,3,4,11
pink 1,5,2,3
white 1,10,4,1
dark-green 1,9,1,17
blue 3,10,4,11
pink 3,17,4,12
pink 1,10,3,11
light-yellow 1,6,7,8
dark-green 2,21,2,9
dark-yellow 1,17,7,4
orange 3,11,2,7
blue 4,11,5,17
blue 1,13,9,6
dark-yellow 2,8,6,8
blue 3,1,6,13
white 1,11,5,8
blue 1,6,9,7
blue 1,9,7,5
white 1,11,8,13
light-green 3,7,2,7
orange 4,13,5,9
orange 4,8,5,8
white 1,8,7,13
pink 1,16,4,6
pink 3,6,5,8
pink 1,11,2,7
blue 4,16,7,6
orange 3,6,6,10
blue 1,8,15,3
pink 2,4,6,16
light-yellow 1,7,7,8
blue 1,8,9,8
pink 2,9,10,2
dark-green 2,9,5,11
dark-yellow 4,5,5,2
dark-yellow 2,11,3,10
light-yellow 2,11,7,8
light-yellow 2,7,6,11
dark-green 2,12,7,5
dark-green 2,6,7,12
dark-yellow 1,11,7,6
dark-green 2,11,8,6
orange 4,7,3,22
orange 1,8,6,12
dark-green 2,7,6,11
pink 3,10,8,12
white 1,9,4,15
orange 3,9,6,5
pink 2,6,8,9
white 1,13,7,5
dark-yellow 1,9,2,15
blue 4,18,7,3
white 1,5,6,16
dark-yellow 1,10,3,9
pink 1,9,5,9
dark-yellow 1,9,5,8
blue 4,7,9,13
pink 1,8,9,7
light-green 2,13,7,8
red 1,12,6,11
red 1,8,11,11
white 1,9,10,16
dark-yellow 2,9,6,8
dark-yellow 2,6,8,12
dark-yellow 2,9,4,7
dark-green 2,9,6,12
pink 2,6,4,16
red 1,10,3,13
blue 1,7,6,6
red 1,9,6,14
blue 1,10,5,10
light-yellow 2,7,2,9
orange 3,11,3,10
pink 2,4,9,8
red 1,3,4,14
dark-yellow 2,12,1,13
pink 1,9,5,12
orange 1,6,5,7
blue 4,7,2,15
pink 3,12,7,8
dark-yellow 2,4,9,13
white 1,6,4,14
light-green 2,11,4,5
white 1,12,4,6
pink 1,14,3,5
dark-yellow 4,7,2,2
dark-yellow 2,8,0,13
blue 4,12,7,18
white 2,10,2,9
red 1,6,7,11
dark-green 3,10,6,6
light-green 2,12,11,8
blue 4,10,8,12
blue 4,14,8,9
dark-yellow 2,16,2,11
light-yellow 2,5,4,14
orange 3,13,5,10
blue 4,7,2,12
blue 4,5,9,11
dark-yellow 1,12,8,5
pink 3,5,8,15
dark-yellow 3,11,6,13
dark-yellow 3,5,3,14
dark-yellow 3,13,7,8
dark-yellow 1,8,11,11
pink 3,5,9,13
light-yellow 1,0,7,11
orange 2,10,1,9
blue 4,11,4,3
red 3,8,3,13
light-green 2,12,11,10
white 2,3,4,11
orange 3,5,4,11
dark-yellow 3,10,2,11
dark-yellow 1,7,5,6
dark-yellow 1,15,8,6
pink 3,3,2,15
white 2,11,4,9
white 2,11,2,7
light-green 4,7,12,6
light-green 4,9,9,5
dark-yellow 1,14,3,9
dark-yellow 3,6,6,9
dark-green 3,2,8,7
white 2,8,2,9
white 2,7,3,10
light-yellow 1,1,4,13
light-yellow 2,0,0,21
light-yellow 2,1,1,17
dark-yellow 4,4,14,6
dark-yellow 4,8,6,3
light-yellow 2,12,8,10
blue 2,18,3,6
orange 3,6,3,11
light-green 4,2,13,9
light-yellow 2,8,2,8
orange 2,5,3,9
light-green 4,7,10,17
light-green 4,7,8,9
blue 2,8,4,12
orange 2,12,5,10
dark-yellow 4,3,11,6
blue 2,7,6,10
dark-yellow 3,11,13,5
blue 2,9,4,7
light-yellow 3,5,3,9
blue 2,11,3,12
dark-green 3,7,6,9
blue 2,10,5,4
light-green 3,4,4,9
dark-yellow 4,11,8,7
white 2,9,2,11
white 2,5,3,11
white 2,10,4,7
white 2,6,6,11
white 2,5,2,20
white 2,12,3,16
orange 3,6,1,17
orange 3,13,0,7
light-green 4,8,7,7
pink 4,4,12,3
blue 2,7,2,14
red 3,8,9,7
red 3,7,3,15
red 3,13,3,12
red 3,6,2,11
red 3,15,6,5
light-green 3,5,5,8
light-green 3,5,5,7
light-yellow 2,8,7,2
dark-yellow 4,5,14,3
orange 2,6,6,6
light-green 4,3,2,13
blue 2,2,12,6
red 3,2,7,6
blue 2,6,7,17
light-green 4,2,16,4
blue 2,17,4,2
orange 2,7,5,14
blue 2,8,5,1
light-yellow 1,3,7,7
light-green 4,7,4,10
blue 2,4,3,11
dark-yellow 4,4,8,5
