"red1" "red2" "darkyellow2" "blue3" "blue4" "darkpink2" "darkpink3" "darkpink4" "orange1" "orange3" "lightgreen1" "positivecontrol1"
"1" 0.517597549121711 0.637184093591613 -0.557409046726376 -0.195742293272235 -0.222019804901757 -1.14546192372512 0.123498978412458 NA 0.146817937235298 0.399973963757551 0.338831667013817 -0.475942511976671
"2" -0.534507741442755 NA NA NA -0.365956397972645 0.492840761981971 0.0115990812102754 0.0870357737971256 NA -0.422965614802472 NA -0.0490732833437478
"3" -0.111456554190099 0.196082673748525 0.187411389988197 0.0634909393876276 -0.310985818926613 -0.80762739717023 1.35782815418577 -0.513689248767618 -0.400593713115323 0.439603988752343 -0.604430500590155 -0.740679025203083
"4" 0.672951468444074 0.846739654933 -0.975176438936333 0.289629330694994 1.17740479414011 NA -0.02421335933406 0.106041796847879 0.0803768312157189 0.525032892452961 0.105461188641255 -1.26343079566757
"5" -0.124268381587169 NA NA 0.668476185516906 0.164536381309449 -0.189861816362564 -0.211841103424098 NA NA -0.587891151149066 NA -0.829761941956537
"6" NA -0.230576963132681 1.05727287717837 0.00829879191835034 0.0223517669929876 -0.804935299455701 -0.203220420065111 0.240356609734083 NA NA NA NA
"7" NA 0.149481531625356 0.105394535860585 NA NA -0.725035833164438 -0.725867619052836 -0.589815142678609 0.126677167951121 NA 0.0490321460806776 0.170420398528084
"8" 1.01831806827644 -0.561179268208012 -0.109150697771298 NA NA -0.232081135413757 -0.565216450572144 -0.407625581476081 -0.488124088731514 0.164746233423592 NA NA
"9" -0.367399389397724 0.0407193813788794 -0.971047698396167 -0.111014805943206 NA -0.598112938830734 0.163192173489119 0.175694213011178 NA 1.16558833229188 0.0808380198569742 -0.765673817954593
"10" 1.36759367194005 0.129767322779976 -0.174745539123794 -0.26130693258349 -0.420908144136638 -1.03439436017945 NA NA 0.601289054363674 0.273143702700826 -0.617465979309866 -0.969311428174686
"11" -0.0191590341382182 -0.167156755537041 -0.474444820523502 -0.0990895126015413 NA NA -0.466847064967125 0.680051985697424 -0.578598469068944 NA NA NA
"12" NA -0.0686050649170312 -0.428413785322502 NA NA -0.302926725058748 0.41379855279663 -0.772085676595154 0.785266263972783 NA NA NA
"13" NA -0.203011004651809 NA NA NA -0.255904940320664 -0.266746771505936 -0.0458356841715098 NA -0.212067451225439 NA -1.51964660140249
"14" 1.11975575908965 -0.0813975387072138 NA NA 0.340783777685204 -0.339228322533172 0.542978112198848 NA -0.159891081719086 -0.081256682635562 NA -1.45695375963341
"15" 0.815009714127116 0.431012028744012 NA 0.298995521766299 0.530756439630632 0.330703863773721 NA 0.513397860417728 0.497799763938068 NA NA NA
"16" -0.644210147191557 NA NA 0.533647851142123 NA NA NA NA 1.17138773172256 0.0644471637853224 NA 0.213074359508436
"17" 0.00838375685621051 NA NA 1.0807334409498 NA NA NA NA -0.162773727695619 -0.168492761924599 NA NA
"18" -0.249733128514893 NA NA NA NA NA NA NA 0.216261369159203 0.0952344997569951 NA NA
"19" NA NA NA NA NA NA NA NA NA NA NA NA
"20" NA NA NA NA NA NA NA NA 0.347303860306881 NA NA NA
"21" NA NA NA NA NA NA NA NA -0.10397703603416 NA NA NA
"22" NA NA NA NA NA NA NA NA NA NA NA NA
"23" NA NA NA NA NA NA NA NA NA NA NA NA
"24" NA NA NA NA NA NA NA NA NA NA NA NA
"25" NA NA NA NA NA NA NA NA NA NA NA NA
"26" NA NA NA NA NA NA NA NA NA NA NA NA
"27" NA NA NA NA NA NA NA NA NA NA NA NA
"28" NA NA NA NA NA NA NA NA NA NA NA NA
"29" NA NA NA NA NA NA NA NA NA NA NA NA
"30" NA NA NA NA NA NA NA NA NA NA NA NA
"31" NA NA NA NA NA NA NA NA NA NA NA NA
"32" NA NA NA NA NA NA NA NA NA NA NA NA
"33" NA NA NA NA NA NA NA NA NA NA NA NA
"34" NA NA NA NA NA NA NA NA NA NA NA NA
"35" NA NA NA NA NA NA NA NA NA NA NA NA
"36" NA NA NA NA NA NA NA NA NA NA NA NA
"37" NA NA NA NA NA NA NA NA NA NA NA NA
"38" NA NA NA NA NA NA NA NA NA NA NA NA
"39" NA NA NA NA NA NA NA NA NA NA NA NA
"40" NA NA NA NA NA NA NA NA NA NA NA NA
"41" NA NA NA NA NA NA NA NA NA NA NA NA
"42" NA NA NA NA NA NA NA NA NA NA NA NA
"43" NA NA NA NA NA NA NA NA NA NA NA NA
"44" NA NA NA NA NA NA NA NA NA NA NA NA
"45" NA NA NA NA NA NA NA NA NA NA NA NA
"46" NA NA NA NA NA NA NA NA NA NA NA NA
"47" NA NA NA NA NA NA NA NA NA NA NA NA
"48" NA NA NA NA NA NA NA NA NA NA NA NA
"49" NA NA NA NA NA NA NA NA NA NA NA NA
"50" NA NA NA NA NA NA NA NA NA NA NA NA
"51" NA NA NA NA NA NA NA NA NA NA NA NA
"52" NA NA NA NA NA NA NA NA NA NA NA NA
"53" NA NA NA NA NA NA NA NA NA NA NA NA
"54" NA NA NA NA NA NA NA NA NA NA NA NA
"55" NA NA NA NA NA NA NA NA NA NA NA NA
"56" NA NA NA NA NA NA NA NA NA NA NA NA
"57" NA NA NA NA NA NA NA NA NA NA NA NA
"58" NA NA NA NA NA NA NA NA NA NA NA NA
"59" NA NA NA NA NA NA NA NA NA NA NA NA
"60" NA NA NA NA NA NA NA NA NA NA NA NA
"61" NA NA NA NA NA NA NA NA NA NA NA NA
"62" NA NA NA NA NA NA NA NA NA NA NA NA
"63" NA NA NA NA NA NA NA NA NA NA NA NA
"64" NA NA NA NA NA NA NA NA NA NA NA NA
"65" NA NA NA NA NA NA NA NA NA NA NA NA
"66" NA NA NA NA NA NA NA NA NA NA NA NA
"67" NA NA NA NA NA NA NA NA NA NA NA NA
"68" NA NA NA NA NA NA NA NA NA NA NA NA
"69" NA NA NA NA NA NA NA NA NA NA NA NA
"70" NA NA NA NA NA NA NA NA NA NA NA NA
"71" NA NA NA NA NA NA NA NA NA NA NA NA
"72" NA NA NA NA NA NA NA NA NA NA NA NA
"73" NA NA NA NA NA NA NA NA NA NA NA NA
"74" NA NA NA NA NA NA NA NA NA NA NA NA
"75" NA NA NA NA NA NA NA NA NA NA NA NA
"76" NA NA NA NA NA NA NA NA NA NA NA NA
"77" NA NA NA NA NA NA NA NA NA NA NA NA
"78" NA NA NA NA NA NA NA NA NA NA NA NA
"79" NA NA NA NA NA NA NA NA NA NA NA NA
"80" NA NA NA NA NA NA NA NA NA NA NA NA
"81" NA NA NA NA NA NA NA NA NA NA NA NA
"82" NA NA NA NA NA NA NA NA NA NA NA NA
"83" NA NA NA NA NA NA NA NA NA NA NA NA
"84" NA NA NA NA NA NA NA NA NA NA NA NA
"85" NA NA NA NA NA NA NA NA NA NA NA NA
"86" NA NA NA NA NA NA NA NA NA NA NA NA
"87" NA NA NA NA NA NA NA NA NA NA NA NA
"88" NA NA NA NA NA NA NA NA NA NA NA NA
"89" NA NA NA NA NA NA NA NA NA NA NA NA
"90" NA NA NA NA NA NA NA NA NA NA NA NA
"91" NA NA NA NA NA NA NA NA NA NA NA NA
"92" NA NA NA NA NA NA NA NA NA NA NA NA
"93" NA NA NA NA NA NA NA NA NA NA NA NA
"94" NA NA NA NA NA NA NA NA NA NA NA NA
"95" NA NA NA NA NA NA NA NA NA NA NA NA
"96" NA NA NA NA NA NA NA NA NA NA NA NA
"97" NA NA NA NA NA NA NA NA NA NA NA NA
"98" NA NA NA NA NA NA NA NA NA NA NA NA
"99" NA NA NA NA NA NA NA NA NA NA NA NA
"100" NA NA NA NA NA NA NA NA NA NA NA NA
"101" NA NA NA NA NA NA NA NA NA NA NA NA
"102" NA NA NA NA NA NA NA NA NA NA NA NA
"103" NA NA NA NA NA NA NA NA NA NA NA NA
"104" NA NA NA NA NA NA NA NA NA NA NA NA
"105" NA NA NA NA NA NA NA NA NA NA NA NA
"106" NA NA NA NA NA NA NA NA NA NA NA NA
"107" NA NA NA NA NA NA NA NA NA NA NA NA
"108" NA NA NA NA NA NA NA NA NA NA NA NA
"109" NA NA NA NA NA NA NA NA NA NA NA NA
"110" NA NA NA NA NA NA NA NA NA NA NA NA
"111" NA NA NA NA NA NA NA NA NA NA NA NA
"112" NA NA NA NA NA NA NA NA NA NA NA NA
"113" NA NA NA NA NA NA NA NA NA NA NA NA
"114" NA NA NA NA NA NA NA NA NA NA NA NA
"115" NA NA NA NA NA NA NA NA NA NA NA NA
"116" NA NA NA NA NA NA NA NA NA NA NA NA
"117" NA NA NA NA NA NA NA NA NA NA NA NA
"118" NA NA NA NA NA NA NA NA NA NA NA NA
"119" NA NA NA NA NA NA NA NA NA NA NA NA
"120" NA NA NA NA NA NA NA NA NA NA NA NA
"121" NA NA NA NA NA NA NA NA NA NA NA NA
"122" NA NA NA NA NA NA NA NA NA NA NA NA
"123" NA NA NA NA NA NA NA NA NA NA NA NA
"124" NA NA NA NA NA NA NA NA NA NA NA NA
"125" NA NA NA NA NA NA NA NA NA NA NA NA
"126" NA NA NA NA NA NA NA NA NA NA NA NA
"127" NA NA NA NA NA NA NA NA NA NA NA NA
"128" NA NA NA NA NA NA NA NA NA NA NA NA
"129" NA NA NA NA NA NA NA NA NA NA NA NA
"130" NA NA NA NA NA NA NA NA NA NA NA NA
"131" NA NA NA NA NA NA NA NA NA NA NA NA
"132" NA NA NA NA NA NA NA NA NA NA NA NA
"133" NA NA NA NA NA NA NA NA NA NA NA NA
"134" NA NA NA NA NA NA NA NA NA NA NA NA
"135" NA NA NA NA NA NA NA NA NA NA NA NA
"136" NA NA NA NA NA NA NA NA NA NA NA NA
"137" NA NA NA NA NA NA NA NA NA NA NA NA
"138" NA NA NA NA NA NA NA NA NA NA NA NA
"139" NA NA NA NA NA NA NA NA NA NA NA NA
"140" NA NA NA NA NA NA NA NA NA NA NA NA
"141" NA NA NA NA NA NA NA NA NA NA NA NA
"142" NA NA NA NA NA NA NA NA NA NA NA NA
"143" NA NA NA NA NA NA NA NA NA NA NA NA
"144" NA NA NA NA NA NA NA NA NA NA NA NA
"145" NA NA NA NA NA NA NA NA NA NA NA NA
"146" NA NA NA NA NA NA NA NA NA NA NA NA
"147" NA NA NA NA NA NA NA NA NA NA NA NA
"148" NA NA NA NA NA NA NA NA NA NA NA NA
"149" NA NA NA NA NA NA NA NA NA NA NA NA
"150" NA NA NA NA NA NA NA NA NA NA NA NA
"151" NA NA NA NA NA NA NA NA NA NA NA NA
"152" NA NA NA NA NA NA NA NA NA NA NA NA
"153" NA NA NA NA NA NA NA NA NA NA NA NA
"154" NA NA NA NA NA NA NA NA NA NA NA NA
"155" NA NA NA NA NA NA NA NA NA NA NA NA
"156" NA NA NA NA NA NA NA NA NA NA NA NA
"157" NA NA NA NA NA NA NA NA NA NA NA NA
"158" NA NA NA NA NA NA NA NA NA NA NA NA
"159" NA NA NA NA NA NA NA NA NA NA NA NA
"160" NA NA NA NA NA NA NA NA NA NA NA NA
"161" NA NA NA NA NA NA NA NA NA NA NA NA
"162" NA NA NA NA NA NA NA NA NA NA NA NA
"163" NA NA NA NA NA NA NA NA NA NA NA NA
"164" NA NA NA NA NA NA NA NA NA NA NA NA
"165" NA NA NA NA NA NA NA NA NA NA NA NA
"166" NA NA NA NA NA NA NA NA NA NA NA NA
"167" NA NA NA NA NA NA NA NA NA NA NA NA
"168" NA NA NA NA NA NA NA NA NA NA NA NA
"169" NA NA NA NA NA NA NA NA NA NA NA NA
"170" NA NA NA NA NA NA NA NA NA NA NA NA
"171" NA NA NA NA NA NA NA NA NA NA NA NA
"172" NA NA NA NA NA NA NA NA NA NA NA NA
"173" NA NA NA NA NA NA NA NA NA NA NA NA
"174" NA NA NA NA NA NA NA NA NA NA NA NA
"175" NA NA NA NA NA NA NA NA NA NA NA NA
"176" NA NA NA NA NA NA NA NA NA NA NA NA
"177" NA NA NA NA NA NA NA NA NA NA NA NA
"178" NA NA NA NA NA NA NA NA NA NA NA NA
"179" NA NA NA NA NA NA NA NA NA NA NA NA
"180" NA NA NA NA NA NA NA NA NA NA NA NA
"181" NA NA NA NA NA NA NA NA NA NA NA NA
"182" NA NA NA NA NA NA NA NA NA NA NA NA
"183" NA NA NA NA NA NA NA NA NA NA NA NA
"184" NA NA NA NA NA NA NA NA NA NA NA NA
"185" NA NA NA NA NA NA NA NA NA NA NA NA
"186" NA NA NA NA NA NA NA NA NA NA NA NA
"187" NA NA NA NA NA NA NA NA NA NA NA NA
"188" NA NA NA NA NA NA NA NA NA NA NA NA
"189" NA NA NA NA NA NA NA NA NA NA NA NA
"190" NA NA NA NA NA NA NA NA NA NA NA NA
"191" NA NA NA NA NA NA NA NA NA NA NA NA
"192" NA NA NA NA NA NA NA NA NA NA NA NA
