"5htr1b" "5htr1bchag80" "58e02" "58e02thg80" "c061" "hl8" "mb025b" "mb032b" "mb056b" "mb058b" "mb060b" "mb065b" "mb109b" "mb299c" "mb301b" "mb304b" "mb315c" "mb438b" "mb439b" "mz19" "mz19chag80" "mz840" "mz840np6510" "NorpAChrimson" "NorpAChrimsonCo" "np47" "np47chag80" "np1528" "np2758" "np5272" "np5272mz840" "np6510" "np6510np5272" "or42b" "or42bCo" "thc1" "thd1" "thd4" "thdprime" "thf1" "thf2" "thf3" "thg1" "thg4chag80" "thg4thg80" "trpa1gr28bd" "trpa1gr28bdCo" "trpa1Gr28bd_mutants"
"1" 0.06401 NA 0.2196 -0.03169 -0.006743 0.2846 0.009181 -0.1087 -0.1313 NA 0.1048 0.08564 0.04521 NA -0.1058 NA -0.03373 -0.4009 -0.4504 -0.3824 -0.1272 NA -0.03484 -0.02657 -0.01288 -0.4952 -0.0777 -0.1054 -0.2771 -0.06375 NA -0.1948 -0.1231 -0.14 0.1489 -0.1213 0.2899 NA -0.01987 -0.06202 -0.06447 -0.113 0.2146 -0.004319 -0.04443 -0.2303 -0.005383 NA
"2" 0.09194 NA 0.07729 0.2014 -0.1354 0.3622 -0.07117 -0.2593 -0.1101 0.1957 -0.005356 0.3931 -0.09794 NA -0.2814 0.01064 0.07105 0.03884 0.09797 -0.05873 -0.1426 -0.2136 -0.02347 -0.008915 0.1503 -0.1161 -0.02412 -0.1725 -0.2895 -0.01236 NA 0.04209 -0.08207 0.1831 0.1822 0.01593 0.1733 NA -0.259 0.2928 0.2027 0.2223 0.105 -0.146 0.09754 -0.357 0.01521 0.01651
"3" -0.04685 NA 0.2358 -0.06564 -0.08859 0.2884 0.06667 -0.06632 0.05236 -0.1496 0.07827 0.1672 -0.09399 NA 0.01912 NA 0.2244 -0.1698 0.3499 -0.2146 -0.1974 NA 0.06937 -0.3515 -0.1098 0.1437 -0.2487 -0.07283 -0.249 -0.3151 -0.748 0.1561 0.07323 -0.0446 0.02399 -0.04849 0.1856 NA -0.2375 0.1803 0.2208 0.161 0.114 -0.06537 -0.1584 -0.3675 0.1075 0.6622
"4" -0.1071 NA -0.1993 0.09345 -0.05413 0.1849 -0.02598 0.1213 0.00446 -0.1321 0.5532 0.07374 -0.04433 0.1554 -0.01929 NA 0.04046 NA -0.2076 0.02572 -0.3686 -0.07042 -0.05955 -0.0801 -0.5943 5.728e-05 0.152 0.0256 -0.1039 -0.1464 -0.2418 -0.6286 -0.2639 -0.002967 0.02025 -0.059 0.1793 0.08681 -0.02418 -0.01948 0.1692 0.1116 0.02001 0.09153 0.1516 -0.6218 0.08892 0.3072
"5" 0.005128 0.516 0.02602 0.1445 -0.0417 0.2809 -0.123 0.1814 0.06868 0.06223 0.04567 0.09288 -0.1228 -0.1367 0.0916 -0.2511 -0.04547 -0.1798 -0.2041 -0.2185 -0.07686 -0.1219 -0.1679 -0.02398 0.1205 -0.5835 -0.1141 -0.1101 -0.4458 -0.3268 -0.3076 -0.3683 -0.04063 -0.2062 0.01257 -0.0208 0.3741 0.1804 0.1303 0.09652 0.07143 -0.01758 0.02747 0.04299 -0.01518 -0.2044 -0.02661 -0.2924
"6" 0.1944 0.18 -0.04575 -0.02341 -0.197 0.542 -0.1921 0.1055 -0.03749 -0.1836 0.08363 0.3935 -0.02162 NA -0.08222 0.04391 0.03514 -0.3392 -0.0126 -0.1486 -0.3064 -0.1303 -0.07056 0.02826 0.2393 0.2583 0.1477 -0.1328 0.07865 -0.3685 -0.09676 -0.03643 -0.3478 -0.2059 -0.07093 -0.04892 -0.2825 0.1672 -0.004562 -0.007526 0.1042 0.09773 -0.05869 -0.1645 -0.04101 -0.2377 0.09998 -0.2019
"7" 0.2887 0.1235 0.0521 -0.07071 -0.2692 0.1797 0.4088 -0.1276 0.1019 0.07535 0.4709 0.1435 -0.007608 0.2633 -0.0457 -0.1104 0.04009 0.09341 -0.0454 -0.4037 -0.1502 -0.07038 -0.59 -0.03275 -0.257 -0.04427 -0.1911 -0.3148 -0.9348 0.02896 -0.3087 -0.1174 -0.004676 -0.3647 0.2728 0.07789 0.2835 -0.05671 -0.169 0.2574 0.3249 0.2672 0.1353 -0.08047 0.003591 -0.3755 0.09329 -0.2079
"8" -0.08636 0.5242 -0.09755 -0.1173 -0.06864 0.2968 0.02487 -0.02718 -0.1367 0.09998 0.01713 -0.02031 0.02004 0.009059 0.03238 -0.09045 0.07476 0.1391 -0.02673 -0.1436 -0.518 0.2695 0.06685 0.01411 -0.2556 0.03815 -0.3894 -0.1169 0.06742 -0.314 -0.04031 -0.08531 -0.08608 -0.01918 0.2696 -0.01421 0.2508 0.235 -0.04517 0.0694 0.1014 0.2943 -0.07433 -0.05132 0.07734 -0.1357 -0.03137 -0.3223
"9" -0.07224 0.004005 0.03926 0.33 -0.1557 0.2108 -0.1805 -0.05517 0.1704 -0.1226 0.1467 0.1719 -0.02205 -0.2409 -0.06342 0.2344 -0.03938 0.5184 -0.002586 -0.2126 -0.1421 0.4211 0.2498 0.004379 0.2256 0.08271 -0.1359 -0.05955 -0.036 -0.1251 -0.6275 0.06612 -0.0337 0.3331 -0.0592 0.07193 -0.006274 0.2592 -0.02872 0.2207 0.02848 0.05388 0.27 -0.1095 -0.08494 -0.5647 0.06493 0.04718
"10" 0.1072 -0.05213 0.09402 0.2039 -0.2067 0.4058 -0.1335 0.05067 0.1205 -0.05601 0.2498 0.1394 -0.3681 0.2524 0.09241 -0.06277 -0.03726 -0.007725 0.3796 -0.2008 -0.2659 -0.2665 -0.3733 0.07678 0.242 -0.3397 0.1179 -0.1318 -0.315 0.06056 -0.01213 -0.09604 -0.04024 -0.09741 -0.08512 0.1094 0.2539 0.106 0.401 0.3055 -0.07864 0.2165 0.04113 0.07458 -0.05896 -0.3034 0.4501 -0.09712
